21$APL705$FINITE ELEMENT METHOD                              $B$""$4$3$0$2$100$53$2018$2
22$APL711$ADVANCED FLUID MECHANICS                           $C$""$3$3$0$0$50$12$2018$2
23$APL713$TURBULENCE AND ITS MODELING                        $D$""$3$3$0$0$50$20$2018$2
24$APL720$COMPUTATIONAL FLUID DYNAMICS                       $E$""$4$3$0$2$50$22$2018$2
25$APL750$MODERN ENGINEERING MATERIALS                       $A$""$3$3$0$0$50$13$2018$2
26$APL767$ENGG. FAILURE ANALYSIS & PREV.                     $AC$""$3$3$0$0$40$15$2018$2
27$APL774$MODELING AND ANALYSIS                              $AA$""$3$3$0$0$40$9$2018$2
28$APL796$ADVANCED SOLID MECHANICS                           $X$""$3$3$0$0$50$19$2018$2
29$APL871$PRODUCT RELIABILITY & MAINTENANCE                  $H$""$3$3$0$0$60$33$2018$2
30$APV707$Micromechanics of Fracture $X$""$1$1$0$0$30$0$2018$2
31$ASD882$PROJECT II                                         $Q$""$12$0$0$24$12$12$2018$2
32$ASL340$Fundamentals of Weather and Climate $F$PC$3$3$0$0$80$68$2018$2
33$ASL350$INTRODUCTION TOOCEANOGRAPHY                        $B$""$3$3$0$0$80$71$2018$2
34$ASL360$THE EARTH`S ATMOSPHERE:PHYSICAL PRINCIPLES         $M$""$3$3$0$0$80$80$2018$2
35$ASL734$DYNAMICS OF THE ATMOSPHERE                         $H$""$3$3$0$0$30$24$2018$2
36$ASL736$SCIENCE OF CLIMATE CHANGE                          $J$""$3$3$0$0$25$21$2018$2
37$ASL737$PHYSICAL AND DYNAMICAL OCEANOGRAPHY                $E$""$3$3$0$0$25$14$2018$2
38$ASL738$NUMERICAL MODELING OF THE ATMOSPHERE AND OCEAN     $AD$""$3$2$0$2$16$14$2018$2
39$ASL751$DISPERSION OF AIR POLLUTANTS                       $F$""$3$3$0$0$40$21$2018$2
40$ASL754$CLOUD PHYSICS                                      $B$""$3$3$0$0$50$7$2018$2
41$ASL760$RENEWABLE ENERGY METEOROLOGY                       $M$""$3$3$0$0$25$5$2018$2
42$ASP820$ADVANCED DATA ANALYSIS FOR WEATHER AND CLIMATE     $K$""$3$1$0$4$15$12$2018$2
43$BBD451$MAJOR PROJECT PART 1 (BB1)                         $P$""$3$0$0$6$30$4$2018$2
44$BBD452$MAJOR PROJECT PART 2 (BB1)                         $Q$""$8$0$0$16$100$0$2018$2
45$BBD851$MAJOR PROJECT PART 1 (BB5)                         $Q$""$6$0$0$12$60$0$2018$2
46$BBD852$MAJOR PROJECT PART 2 (BB5)                         $Q$""$14$0$0$28$60$5$2018$2
47$BBD853$MAJOR PROJECT PART 1 (BB5)                         $Q$""$4$0$0$8$60$0$2018$2
48$BBD854$MAJOR PROJECT PART 2 (BB5)                         $Q$""$16$0$0$32$60$11$2018$2
49$BBD895$MAJOR PROJECT                                      $Q$""$36$0$0$72$60$11$2018$2
50$BBL341$ENVIRONMENTAL BIOTECHNOLOGY                        $H$DE$3$3$0$0$100$13$2018$2
51$BBL431$BIOPROCESS TECHNOLOGY                              $J$DC$2$2$0$0$100$77$2018$2
52$BBL432$FLUID SOLID SYSTEMS                                $H$DC$2$2$0$0$100$56$2018$2
53$BBL433$ENZYME SCIENCE AND ENGINEERING                     $D$DC$4$3$0$2$100$55$2018$2
54$BBL434$BIOINFORMATICS                                     $C$DC$3$2$0$2$100$73$2018$2
55$BBL443$MODELING & SIMULATION OF BIO.                      $J$DE$4$3$0$2$100$13$2018$2
56$BBL445$MEMBRANE APPLICATIONS IN BIO.                      $E$DE$3$3$0$0$100$33$2018$2
57$BBL736$DYNAMICS OF MICROBIAL SYSTEMS                      $B$""$3$3$0$0$60$27$2018$2
